,VAGA,ID,IDADE,MBA,PHD,CLOUD_CERT,SGBD_CERT,HORAS_ESTUDO,QT_FILHOS,CNH,ANOS_EXP,SCORE
115,2,115,40.7795087888806,0,0,1,0,8.06355216867532,1,1,14.8122503760522,166.15019177947
119,2,119,33.4635900815539,0,1,1,0,9.50611805102968,1,1,12.836952325074,139.984912684276
120,2,120,37.1766929042198,0,0,0,1,7.29248398590356,0,0,13.8394900871938,156.734749990736
121,2,121,37.0458524341796,1,1,1,0,5.68423407672388,0,1,13.8041631602829,170.087284550563
126,2,126,35.9941295250557,0,0,1,1,7.6153431850877,1,0,13.5201979748194,141.607477838559
130,2,130,35.0932149462601,0,0,0,1,7.6865664132761,1,1,13.2769510385446,141.785823462751
132,2,132,44.5625454154701,0,0,0,1,6.58819386871426,0,1,15.8336702652313,168.98385773011
137,2,137,33.3263445660994,1,1,1,1,8.62421347969547,2,0,12.7998960359013,151.27720075085
140,2,140,35.4395022676212,1,1,0,0,7.95353647357837,1,0,13.3704486153121,153.338157887421
144,2,144,35.2317857731495,0,0,1,0,7.59784441103008,3,0,13.3143651618048,138.500556004718
146,2,146,39.3277049198393,0,1,0,1,8.57056236647514,1,1,14.420263331411,158.14007106549
148,2,148,35.9571795979475,0,0,0,0,5.58981340576285,1,0,13.5102214945002,144.80488377532
156,2,156,36.346452253919,0,0,1,0,7.87572602952534,1,0,13.6153251116125,145.567933458533
157,2,157,35.2564152661785,0,1,1,0,7.0496363712052,0,1,13.3210151249226,143.257604428752
158,2,158,40.8228858316904,0,1,1,0,7.523608711895,1,0,14.8239621776108,161.441968636888
162,2,162,36.0732451983194,1,0,0,0,7.82554876134135,1,1,13.5415592066006,153.639418532012
164,2,164,39.0651185821331,1,1,0,0,9.494301901158,0,1,14.3493650202303,169.981208403417
165,2,165,37.9212470943741,1,0,0,0,6.34254456824504,0,0,14.0405197185354,168.904707932488
166,2,166,37.3365850058758,1,0,1,1,8.3312727077943,2,1,13.8826609546409,170.258071181304
167,2,167,35.311871901257,0,1,0,0,8.75483695514146,1,0,13.3359884163938,144.126945068327
170,2,170,37.9690740428905,1,1,0,1,6.20012237031543,1,1,14.0534329946348,166.825276554905
172,2,172,34.7992391374304,0,1,0,0,8.43011837514085,3,0,13.1975775701606,146.888939327008
177,2,177,38.6206514956997,0,0,1,1,12.1297530173112,0,0,14.2293589068933,152.751847614865
178,2,178,33.1392736797764,1,0,1,0,5.25513310978791,0,0,12.749386896594,157.287139296454
179,2,179,41.8542946916597,0,1,1,1,7.31870234378027,1,0,15.1024425698025,165.085526788451
184,2,184,41.8381552604193,1,0,1,0,5.37740596906721,1,1,15.0980849233676,183.552250211768
188,2,188,35.5682878950107,1,0,0,1,6.82232558682444,2,1,13.4052207347073,157.641814876533
189,2,189,33.7659170408506,1,0,1,1,9.59949552844158,1,0,12.9185806040841,151.061240651123
192,2,192,34.1208658653314,1,0,0,1,6.20821914324575,1,1,13.0144167866939,159.239206401799
193,2,193,33.6988094897743,1,1,0,0,9.53124792402928,2,0,12.9004615652935,150.081527818747
198,2,198,33.7924041301475,1,0,1,1,8.11240202724836,0,0,12.9257321181942,155.267393579172
207,2,207,34.2132875106566,0,1,0,1,8.91125394606447,1,1,13.0393706309317,134.334023200542
214,2,214,36.9183050170637,0,0,1,1,5.47444944057669,0,0,13.7697253576616,143.328011196269
218,2,218,38.5640450757901,0,0,0,0,8.09710893945131,1,0,14.2140751735177,152.139101609439
227,2,227,38.3766772645493,1,0,1,1,8.03839744375409,1,0,14.1634858644827,159.06272475056
229,2,229,34.7814933872808,1,1,1,0,9.85057490908139,0,0,13.1927862176202,156.219779407655
231,2,231,37.5012820970063,0,0,0,1,8.36495235133116,2,0,13.9271291692461,144.730413209038
233,2,233,40.3097859999108,0,0,0,0,7.58245989350601,1,0,14.6854252230303,163.484119951358
234,2,234,32.5576558144824,1,0,1,1,6.75931995080391,0,1,12.5923500729646,159.969340141674
235,2,235,36.2545468906269,1,0,0,0,7.64474431255328,1,0,13.5905106635237,153.593383540624
241,2,241,33.1572151741866,0,1,1,1,6.58803246321414,0,1,12.7542311000848,143.481492250236
243,2,243,37.1902415119167,0,1,1,1,8.99541714716058,0,0,13.8431482112719,153.466464879147
246,2,246,39.1722498221125,1,1,1,0,4.81991520811989,0,0,14.3782904550248,167.349996193447
250,2,250,35.7473401105186,0,0,0,0,6.1031418037818,1,1,13.4535648328944,136.520623400895
251,2,251,38.336497469563,1,0,1,0,8.72294226313814,2,1,14.1526373198364,162.38250723498
253,2,253,38.4983774608289,0,1,1,0,7.54467306297079,1,1,14.1963449174782,155.443202212996
255,2,255,33.1308603000066,0,0,0,1,11.6700991114886,1,1,12.7471152840562,147.140662915105
258,2,258,43.3610056123606,0,0,1,1,6.47682995428806,1,0,15.5092545183918,161.132324488528
259,2,259,40.6793885248078,1,1,0,0,8.51724161983702,3,1,14.7852179047525,170.14590995635
261,2,261,33.9245064657698,0,0,0,0,9.00416882884507,2,0,12.9613997488123,142.90342565788
263,2,263,32.973675819544,0,0,1,0,7.14150889560581,0,0,12.7046754743313,147.848200565344
265,2,265,36.7162460443755,0,1,0,1,10.1286592245789,0,1,13.7151694350358,147.093247545865
271,2,271,36.4304915205958,0,0,0,0,7.64697728205821,0,0,13.6380157136153,157.405450580345
272,2,272,35.3120252261563,1,1,1,0,7.10955350217901,1,1,13.3360298141166,161.39650777242
273,2,273,31.7963068260356,0,1,0,0,6.34110299629357,0,1,12.386785846084,134.55093736085
275,2,275,35.3056579543303,1,1,1,0,8.33462491501001,0,1,13.3343106507236,163.460751687994
276,2,276,37.6035039165684,1,1,0,0,8.78014113460984,1,0,13.9547290605279,170.882967588697
277,2,277,37.9136596969157,1,1,1,1,6.34053137412334,1,0,14.0384711212216,174.123281245431
286,2,286,36.0175033278502,1,0,0,0,5.83255066276222,0,0,13.526508901574,156.018679218148
289,2,289,35.4447773563146,1,1,1,0,9.40928951478578,0,1,13.3718728892594,155.034031758503
290,2,290,36.0437092012209,0,0,1,1,6.29985158809952,0,0,13.533584487384,154.664373140819
297,2,297,36.0764478321123,0,0,0,1,5.02931928577844,0,1,13.5424239177247,151.198299541885
298,2,298,35.4984215947047,0,0,0,0,9.42362011303291,0,1,13.3863568336247,147.385064065868
302,2,302,34.9752444524572,1,0,0,0,8.47172462729719,1,0,13.2450990052179,150.916997974533
308,2,308,38.5908478720369,0,0,0,1,9.30895886093377,1,1,14.2213119285044,152.871524836487
312,2,312,43.6167046914953,0,1,0,1,5.32103172135249,1,1,15.5782932697581,172.310042890992
317,2,317,34.9541583602995,0,0,0,1,10.0974670267983,1,0,13.2394057603353,144.047590815685
322,2,322,35.42981339803,0,0,0,0,8.35795916771591,2,1,13.3678326205225,145.500479263087
323,2,323,41.8296480209708,1,0,1,0,6.79390601600655,0,0,15.0957879687165,183.214323751588
325,2,325,37.9535887273263,1,0,0,1,8.49094283988158,0,1,14.0492519594325,168.158162437449
327,2,327,39.588956227964,0,0,0,0,7.41624032722721,1,1,14.4908011846047,164.590730651384
332,2,332,34.4592393333758,1,0,0,0,7.59563070596671,1,0,13.1057776230659,153.208235012349
337,2,337,35.3986084212991,0,0,0,0,8.03004060198352,2,0,13.3594072768052,141.93293474902
338,2,338,30.7564208531233,1,0,0,0,9.19563670780638,1,0,12.1060166333977,141.315726358062
341,2,341,38.0636714494624,1,1,1,0,5.26907799449993,1,1,14.0789742944093,163.1259992437
342,2,342,40.0091929273626,0,1,1,0,8.08247041291174,2,1,14.6042650934423,149.565354916919
343,2,343,34.4113774855156,0,0,0,1,8.89944395145924,0,1,13.0928549241436,140.255529852612
344,2,344,37.7624994472536,0,0,0,1,8.95710460127912,1,1,13.9976578538129,151.237318455291
349,2,349,34.15611583892,1,0,0,1,7.51315783556337,0,1,13.0239342795628,149.682896120549
353,2,353,33.7398493049322,1,1,0,0,7.49381287802922,2,1,12.9115423153861,157.575951026375
355,2,355,38.1958073079379,1,0,0,1,5.2925447883613,0,1,14.1146509761976,164.569618889382
361,2,361,32.0805065074231,1,0,1,0,7.44564522479775,2,1,12.4635197600586,150.142711821681
373,2,373,37.2731876874697,0,0,1,0,8.7920748077725,0,1,13.8655436786712,156.335912265804
378,2,378,33.3892398137577,0,1,0,0,8.67843795747836,3,0,12.816877752769,131.739535025467
379,2,379,36.8532677301528,0,1,0,0,8.93761090626224,2,1,13.7521652901957,145.336439722927
381,2,381,41.453096351061,1,0,1,1,7.72543734016672,0,0,14.9941190178409,179.33776056974
385,2,385,38.1895239212304,1,1,0,0,9.42525910810357,3,1,14.1129544617866,170.610757970272
387,2,387,37.6758388036234,1,0,0,0,7.39901030560325,1,1,13.9742594800327,168.221390005017
393,2,393,32.9189279386512,0,1,1,1,6.85334314670806,1,1,12.6898935464902,136.108603287575
394,2,394,43.7656210931713,0,0,0,0,9.49522132852791,1,0,15.6185006982107,168.996433764885
396,2,396,38.244181389167,0,1,1,0,8.99167761294559,0,0,14.1277119781295,152.651094248744
403,2,403,34.1408283204636,1,1,1,1,8.45829701431886,1,1,13.0198066495796,154.138344650517
404,2,404,34.0322887385972,0,0,0,0,7.42120043771643,1,0,12.9905009624757,142.39453801307
405,2,405,31.8079421236174,0,0,1,1,6.28560698218884,0,0,12.3899273764311,134.396122928978
410,2,410,34.3048201500426,0,0,0,0,7.1801198270244,0,1,13.0640844435659,148.02100640113
412,2,412,39.6179792458871,0,0,0,1,10.4058549526746,1,0,14.4986373994439,156.602250665256
415,2,415,37.7292066880991,1,1,1,1,5.77233447784377,0,1,13.9886688088412,168.486763712683
416,2,416,38.417053174129,1,1,0,1,7.30519566865075,1,0,14.1743873600692,172.081609237181
417,2,417,35.6213696470101,1,1,0,0,7.09581280080568,1,1,13.4195528077471,164.197997906461
424,2,424,38.9119661343728,1,0,0,1,7.86815512055505,2,1,14.3080138593351,166.229745651264
426,2,426,36.2248341288379,1,0,1,0,10.846307661334,2,0,13.5824882178406,152.943471879687
427,2,427,33.6608596292502,0,0,1,0,8.73465663525677,0,1,12.890215102952,141.120368041545
430,2,430,33.3491869192536,1,0,1,1,8.6327703827562,2,1,12.8060634712529,153.602026990451
432,2,432,32.6695989483539,0,0,0,0,6.03912214552078,2,1,12.62257471911,138.265730404919
434,2,434,33.7877248990776,0,1,0,0,8.1061362464353,2,0,12.9244687258054,145.437934180414
436,2,436,39.5323154616794,0,1,1,1,7.36167220268376,3,1,14.4755081777079,154.053663452625
437,2,437,35.7163834359397,0,1,0,0,9.20913310866777,0,1,13.4452065307581,149.191176731036
440,2,440,34.9902335343026,1,1,0,1,11.5135012161741,2,1,13.2491460573161,150.010009322444
455,2,455,36.982252142311,0,0,0,0,6.59581919600987,2,0,13.7869910814784,147.767595324235
457,2,457,35.1155784804537,0,1,1,0,9.11106058270284,0,1,13.2829891927769,150.385699259454
462,2,462,34.5641398220449,1,1,1,0,5.73970226520037,4,1,13.1341007550065,150.234640507785
464,2,464,37.6970779232265,0,1,1,1,9.77120146661172,0,0,13.9799940423256,160.599670690611
465,2,465,36.288426281769,0,1,0,0,7.13532959645631,0,1,13.599658099132,146.330362787616
466,2,466,35.3051723319596,0,0,1,0,7.00293025393687,0,0,13.3341795326835,147.020980446746
468,2,468,38.3694644524691,1,1,1,1,6.30181549947478,2,1,14.1615384052211,164.339503680166
469,2,469,37.0893417704236,0,1,0,0,9.71189206267185,2,1,13.8159052810688,151.430712376741
472,2,472,31.8441134464311,0,0,1,1,6.33587306425977,1,1,12.3996936335908,134.659594588258
474,2,474,35.8623002245072,0,0,1,0,4.68366673178252,0,0,13.4846040636713,146.986972318832
475,2,475,34.4982136960989,0,1,1,0,9.15341152586569,1,1,13.1163007010011,145.25258029237
477,2,477,40.7708024853273,0,1,1,0,8.45036042452501,3,0,14.8098996740928,159.509268597537
478,2,478,36.7709331063533,1,1,0,0,9.03544955862492,3,1,13.7299349417698,160.478464599454
487,2,487,37.4384883191904,1,1,0,1,6.18118651847508,4,1,13.9101748492358,167.954419594985
493,2,493,37.7119277803647,0,1,0,0,6.55810062052057,1,1,13.9840035037529,158.436770102198
495,2,495,43.3129330388281,1,0,1,1,8.92560035708368,0,1,15.496274923538,174.14393957596
499,2,499,36.2291152978515,1,1,1,0,7.08955353070706,1,1,13.5836441334743,167.644074902839
500,2,500,36.1842381521482,0,1,0,1,6.74775319236681,2,0,13.5715273041344,141.732731260789
505,2,505,34.3455075934938,0,1,1,1,7.5189197620336,2,1,13.0750700532977,141.084791530092
507,2,507,38.24695532077,1,1,1,0,7.08651902990367,3,0,14.1284609396623,167.962965568742
510,2,510,34.3744562761092,0,1,1,0,9.8647085473554,0,0,13.0828861976039,131.931069357296
512,2,512,34.4812175027418,1,1,1,1,5.31935394422982,0,1,13.1117117287947,157.987921755939
514,2,514,37.5474498328173,0,1,1,0,5.47322346356429,1,0,13.9395944579151,155.406173548155
518,2,518,36.5862564148601,1,1,0,0,8.732493332135,2,1,13.6800722350666,158.60214943467
520,2,520,37.425071733265,0,0,0,0,4.4839841874195,0,1,13.906552371036,146.337717671094
523,2,523,43.3162029852575,0,0,0,0,9.7222351881851,1,1,15.4971578090739,166.353382393523
526,2,526,34.6200946116689,0,1,0,1,7.47085792488171,1,0,13.149208548205,148.748921090613
527,2,527,36.2862383967152,1,1,1,1,8.49176118842852,1,1,13.5990673701675,158.908858278898
528,2,528,38.3610668672927,0,1,1,0,7.27209974830627,1,0,14.1592710572234,163.572377956516
529,2,529,35.9037457129167,0,1,1,0,6.38022789495746,2,0,13.4957943455419,139.124525228343
532,2,532,34.6917680690806,1,0,1,1,7.48908288349679,0,1,13.1685603817062,153.741414591794
535,2,535,39.5646042023689,0,0,1,1,9.57912070344703,0,0,14.484226137694,158.251548997623
536,2,536,33.9448715285304,0,1,0,1,4.96298135583175,3,1,12.9668983157576,138.624415989477
537,2,537,36.8464283004706,0,0,1,0,9.1691855059046,0,1,13.7503186441815,144.463998557095
538,2,538,34.6193452350402,1,1,1,1,8.59724295711418,2,1,13.1490062165153,150.526683520275
543,2,543,36.6732602496894,1,0,1,0,10.7644394135133,1,1,13.7035632704706,159.793432270104
547,2,547,35.8763535861514,0,0,0,0,9.26095983073315,1,1,13.4883984713153,154.177745367453
550,2,550,37.4944845559411,0,0,0,1,7.40833831027523,2,1,13.9252938331585,149.27088017325
553,2,553,39.8304555014269,0,0,1,1,6.08395248591651,0,0,14.5560059884397,159.99856996565
554,2,554,38.6286750228052,1,0,0,0,9.88612917256247,1,0,14.2315252592118,170.229565704706
558,2,558,38.154096844888,1,1,0,0,6.35987133065744,3,0,14.1033891511742,160.338907158079
559,2,559,37.0250992189018,0,1,1,0,7.96426125457897,0,1,13.7985597921579,149.030425259365
566,2,566,34.4153582687778,0,1,0,1,6.37428185660178,1,0,13.0939297356244,148.977848652979
572,2,572,40.8541785975472,0,1,1,0,6.39647085815818,0,1,14.8324112243921,167.077656236892
573,2,573,35.2681492983797,1,1,0,0,8.9558347895713,2,1,13.3241833136169,151.91930731133
575,2,575,37.4440088369814,0,0,0,1,9.18581880014526,3,1,13.9116653890394,143.414253511131
576,2,576,37.9188248207529,0,0,1,0,7.30745388783853,1,0,14.0398657046577,163.077358814693
578,2,578,36.2273344252049,0,0,1,1,6.35065039160457,1,1,13.5831632978597,149.976735582541
579,2,579,35.4613821917198,1,1,0,1,8.1696219927845,0,0,13.3763561948187,159.507149804507
582,2,582,37.3841318260724,0,0,1,1,8.55077857672871,1,0,13.895498596094,143.31170484155
593,2,593,36.3755374729243,0,1,0,1,6.44703271268172,2,1,13.623178120744,147.983419317866
598,2,598,35.4155785075715,1,1,1,1,11.4875508175694,3,0,13.3639892000987,156.346346190881
600,2,600,33.2070534936291,0,0,1,0,9.72196543717125,0,1,12.7676874463343,135.636874633171
603,2,603,37.0720247102517,0,0,0,1,6.08555428097089,1,1,13.8112296748224,147.242624157772
604,2,604,34.8121397466476,0,1,1,1,9.42405590917343,0,0,13.2010607346493,144.307703178678
605,2,605,38.0403746860308,0,0,0,0,9.14606616063949,0,0,14.0726841682827,159.656120748277
608,2,608,33.7949117213233,0,0,0,0,4.31183235000634,0,1,12.9264091678117,144.301581350393
611,2,611,35.3127497001607,1,1,1,1,7.02600542959152,3,1,13.3362254220978,151.755347597975
612,2,612,33.9538532834704,1,1,0,1,6.30243469106208,1,1,12.9693233895914,145.432196900449
613,2,613,40.1818621581767,0,1,0,1,6.86150270178928,0,0,14.6508857857621,158.56936644247
615,2,615,35.4032647974497,0,0,1,1,6.07236474503619,0,0,13.3606644983658,153.221142541536
617,2,617,37.6596080594384,1,0,0,0,8.1916715650844,1,0,13.9698771791028,159.488532680814
623,2,623,32.7387316068492,0,1,1,1,5.82781021925874,2,0,12.6412405369037,133.41748821064
625,2,625,36.1183072825166,0,0,0,1,9.32745870169961,4,0,13.5537259693339,142.073816618114
626,2,626,33.6525549021277,1,0,1,0,12.3155310940497,0,1,12.8879728266289,159.043134377852
628,2,628,37.4173645375053,0,1,1,1,6.7265438289094,0,1,13.9044714281808,156.298626367548
632,2,632,36.6995848098551,1,0,0,0,10.2643372009211,1,1,13.7106709017153,170.87278862293
634,2,634,35.3230931099542,0,1,0,0,7.9683728928272,1,1,13.3390181427421,144.257363918895
637,2,637,35.0445934237388,0,0,0,1,7.07566505623415,0,0,13.2638232274639,137.534767053172
640,2,640,35.3257127814593,0,1,0,0,5.9043540698149,4,0,13.3397254540484,150.790798089222
647,2,647,37.4051154507308,0,1,0,0,5.49192480948539,0,1,13.9011641747517,150.016634746138
648,2,648,39.4788767616042,1,1,0,1,7.71962798324654,0,0,14.4610797286876,170.162939216897
653,2,653,41.0010418812113,0,1,1,1,8.43781443253884,1,1,14.8720643109814,164.717310519765
655,2,655,34.0031549080519,0,0,1,0,8.24699508305192,0,1,12.9826348282284,140.29726457277
658,2,658,34.9067364278537,1,1,1,0,6.9544511635209,0,0,13.2266018385749,156.542661384802
663,2,663,33.3752015161449,1,1,0,0,10.0055818159077,1,0,12.8130874124135,142.835951903251
665,2,665,33.82870091325,0,0,1,1,6.28595107082436,1,0,12.9355322496319,138.431609011861
666,2,666,36.3139754295041,0,0,0,1,7.13184262829403,0,1,13.6065563690205,142.382132038063
669,2,669,39.4760689762127,1,0,0,1,8.45095456714607,1,1,14.4603216266318,161.142261213058
670,2,670,34.3382047776326,0,0,0,0,7.33823261942182,0,0,13.0730982930152,139.570529632065
671,2,671,34.2128336709807,1,1,1,1,8.96010338897642,2,0,13.0392480942192,153.224005206979
675,2,675,34.6804116503749,0,1,1,1,8.26415604414834,2,1,13.1654941486556,144.244696227783
676,2,676,33.9779811947316,0,0,0,1,5.28251203885121,2,1,12.975837925632,148.482710117309
679,2,679,41.6481173027472,0,0,0,0,7.72728153427916,1,0,15.0467746747962,159.347629761912
682,2,682,34.5091366272231,1,0,0,1,6.48357541950444,3,0,13.1192498924046,156.201377454694
686,2,686,38.2234192971818,1,1,1,1,7.3149967542511,2,0,14.1221062132935,168.491448795053
688,2,688,35.5848442361617,0,0,1,0,6.48887657027283,0,0,13.4096909468181,138.130475036252
689,2,689,34.3658239073503,0,1,1,0,7.61979109490943,1,0,13.080555458039,143.034424224282
690,2,690,36.3492825340407,1,0,0,0,6.48048768552168,0,1,13.6160892872454,167.421479373263
693,2,693,35.892408052337,1,1,1,0,9.29241483144101,0,0,13.4927331771854,165.539334154367
697,2,697,35.1226537193803,0,1,1,1,9.29291849951965,2,0,13.2848995072871,144.430128960481
699,2,699,38.0737974638255,0,1,1,1,9.31721307393667,0,0,14.0817083182873,151.584923429105
700,2,700,39.8922729199325,1,0,0,1,7.36065977447654,0,1,14.5726966914362,167.455568474867
707,2,707,34.8709131246716,1,0,1,1,9.13187758135213,2,0,13.2169295467157,150.359023906147
708,2,708,36.4073776807226,1,0,0,1,11.6968271428874,1,0,13.6317749768495,166.120386949717
709,2,709,36.4120898366541,1,1,0,1,7.79118374349427,2,0,13.633047258951,157.679294260162
712,2,712,39.4014657683841,1,0,0,0,10.4673245248103,0,0,14.4401787605181,173.241425756365
714,2,714,35.7037610520028,1,0,0,1,10.1225935361775,2,0,13.4417984870952,154.372552657731
715,2,715,38.2659471469983,0,1,0,1,7.73693333164451,1,0,14.1335887327439,146.697771733029
723,2,723,36.772027591991,0,1,0,1,7.6766745479296,1,1,13.730230452892,147.831143674817
734,2,734,38.8565712727221,1,0,0,0,8.51340610033071,2,1,14.2930572466894,166.359092637037
736,2,736,35.9180637402294,1,1,0,1,6.1395569362383,0,0,13.4996602129163,159.553638204528
739,2,739,35.765005922894,0,0,1,1,8.41066621007468,1,1,13.4583346022358,146.150043759892
740,2,740,34.104496329672,1,0,1,1,8.09741707811535,1,0,13.0099970120658,152.101852686949
750,2,750,42.2343191154126,0,0,1,1,6.36484055553884,1,0,15.2050491642158,166.810109447103
751,2,751,41.5499112339735,0,0,0,1,8.1539000139348,2,0,15.0202590362272,161.341151123757
759,2,759,34.8151292487694,1,1,1,0,10.0055842018426,1,0,13.2018679002221,158.609677924049
761,2,761,32.5808717731938,1,1,1,1,6.89040791094472,1,0,12.5986183818167,152.441575401595
770,2,770,30.6012545610696,1,1,0,0,8.95170807222046,0,1,12.0641217345432,145.240327147599
772,2,772,34.6347484514867,0,0,0,1,8.471031930433,4,1,13.1531650849558,141.850114124588
777,2,777,32.3054340059075,0,0,1,0,5.21193805055878,0,0,12.5242501846494,141.714713074883
778,2,778,32.5608352293128,1,0,0,0,9.73911417484976,3,1,12.5932085149689,139.340326221863
781,2,781,35.6355293743321,1,1,1,0,8.99381720950364,1,0,13.4233759341241,159.078258323625
783,2,783,41.7578735818983,1,1,0,1,8.8743124179418,1,0,15.076408870167,173.479405668106
784,2,784,33.8020905890124,1,0,0,0,8.09583506998087,0,0,12.9283474620878,149.933197534383
786,2,786,32.3043246921226,1,0,0,1,10.1754328583382,1,0,12.5239506699275,148.873052524091
788,2,788,33.6362154112508,1,1,0,0,7.65942485648296,2,1,12.8835611640921,155.181590107888
789,2,789,34.8189870455357,0,0,0,1,7.95516589434083,0,1,13.202909505349,147.624408218812
794,2,794,33.8049633578623,1,0,0,1,7.92394223860799,1,1,12.9291231096772,156.520338450504
798,2,798,35.0101922686338,1,1,1,0,6.55558886103166,0,1,13.2545349155855,159.356163090253
801,2,801,41.3306136093922,0,1,0,1,6.69104675354645,0,1,14.9610486775903,169.882879528738
802,2,802,42.9535509061074,1,0,0,1,5.34098867264976,1,1,15.3992417477034,171.332357629662
806,2,806,34.688268592987,0,0,1,1,8.53448406621868,2,0,13.1676155231609,140.190834922133
808,2,808,37.6312495630069,1,1,0,0,6.83790539404329,0,0,13.9622203850663,160.893629961858
810,2,810,47.2316604402876,1,0,0,1,7.64069790545448,0,1,16.5543313219321,183.754991919292
811,2,811,38.7317985398644,0,0,1,0,5.61751820969997,0,1,14.2593686088178,158.409371079693
812,2,812,43.2486545800395,1,0,0,1,5.84100775253187,1,1,15.4789197396651,182.888224941896
815,2,815,36.7833307636113,1,1,1,1,7.602128720891,1,1,13.7332823092295,155.201257924995
819,2,819,40.0658684563174,1,1,1,1,8.78171043271073,3,1,14.6195674862601,164.604989393107
820,2,820,42.4827970952451,1,1,0,1,6.46006453188315,1,0,15.2721382187706,174.400214626065
822,2,822,35.0976958628052,0,1,0,1,11.6236730881768,0,0,13.2781608860118,143.463601401735
